Iteration;Oil_Price_USD;Sanctions_Years;RUB_EUR;Industrial_Growth_pct;Win_Rate_pct;CAPEX_Overrun;Revenue_M_EUR_yr;NPV_M_EUR;ROI_5yr_pct;Payback_Years
80;34.2238;5.9227;99.2994;5.9572;49.6049;1.25;0.7858;-22.2113;-79.0452;23.8609
81;66.0459;2.5423;121.9083;3.8796;84.8331;1.0148;1.8839;-10.2124;-38.1188;8.08
82;76.428;3.5371;128.2267;2.7724;58.1064;1.2947;1.2325;-20.7287;-68.2668;15.7564
83;96.6021;1.3196;84.0018;5.1391;60.9391;0.8665;2.7271;-2.4154;4.9095;4.766
84;60.6711;2.3043;92.755;3.8837;69.7328;1.0436;1.9645;-10.8304;-37.2506;7.9682
85;55.4471;2.5282;85.724;5.7755;49.5492;1.355;1.8939;-17.0312;-53.4094;10.7318
86;60.9684;1.6368;90.6496;4.6113;28.4918;0.9949;0.9097;-15.9636;-69.5195;16.4039
87;86.4772;5.2217;77.2629;5.5822;62.8917;1.0897;1.7808;-12.1875;-45.5279;9.179
88;75.9175;6.7077;80.0665;3.0785;59.2156;1.1501;1.2191;-17.1859;-64.6687;14.1517
89;60.4643;3.5444;111.471;4.8151;49.4781;0.8;0.9821;-11.1666;-59.0804;12.2191
90;79.2388;7.112;103.3451;3.5511;80.7469;0.901;1.3007;-11.4248;-51.8795;10.3906
91;71.7474;2.751;113.0768;2.7694;55.0523;1.2556;1.2657;-19.3103;-66.3986;14.8803
92;87.4356;3.3021;105.4961;3.3083;48.9301;0.8;1.0833;-10.2182;-54.8637;11.0776
93;57.363;2.3921;119.2539;3.7833;47.3737;1.2506;0.9078;-21.6357;-75.8036;20.6642
94;64.1021;4.9768;124.552;6.467;58.7486;0.8889;1.1355;-12.2514;-57.4187;11.7423
95;62.9421;3.7888;64.6987;3.7436;50.9346;1.5084;1.5845;-23.3703;-64.9858;14.2799
96;43.6567;4.9288;80.769;2.6927;77.6911;1.0913;1.5596;-14.0017;-52.3634;10.4961
97;75.3302;6.019;94.3797;4.7972;51.0255;0.8521;0.9685;-12.1414;-62.1107;13.1964
98;74.699;4.5036;99.4347;4.6438;40.6858;1.2164;0.8254;-21.1291;-77.3817;22.106
99;70.092;5.0238;84.5757;3.8619;50.734;1.332;1.1893;-21.1861;-70.2377;16.7998
100;65.7774;7.9249;125.6093;4.3582;59.1764;1.1284;0.6075;-20.7725;-82.0561;27.8646
101;44.5233;3.1727;164.0477;6.0643;70.2484;0.9147;0.9768;-14.1455;-64.4024;14.0459
102;62.4284;3.4719;104.764;5.6061;65.0861;1.3333;1.449;-20.1486;-63.7733;13.802
103;63.8311;5.6672;102.1309;5.4763;59.0313;0.8305;1.0084;-11.8231;-59.5231;12.3527
104;55.559;4.9159;123.6598;2.8245;63.1245;1.239;0.9073;-21.1354;-75.5919;20.485
105;67.0969;2.5592;62.7219;8.9298;58.7351;0.8;2.5371;-1.7733;5.7105;4.7299
106;77.2729;3.559;100.7143;6.1769;33.967;1.0238;1.0111;-15.9343;-67.0799;15.1883
107;103.9513;4.0512;127.7313;5.3755;52.0249;0.8944;1.0234;-13.1498;-61.8575;13.1087
108;73.1424;3.7863;85.1472;2.8535;76.4866;0.8;2.3945;-2.696;-0.2301;5.0115
109;74.6359;2.5577;73.5915;6.0216;64.2184;1.2982;2.3258;-13.5192;-40.2824;8.3727
110;68.66;7.7583;95.4611;3.8483;57.9881;0.8;0.7749;-12.6376;-67.7108;15.485
111;35.4621;6.0243;98.4943;4.3086;50.3789;1.3189;0.9714;-23.0453;-75.4495;20.3661
112;69.5228;4.1272;79.6791;2.0788;76.1859;0.8;2.2819;-3.7383;-4.9206;5.2588
113;71.0841;5.3874;168.8837;2.7378;68.9222;1.2345;0.7999;-22.0621;-78.4022;23.1505
114;114.3384;7.3864;88.721;5.2578;68.3754;0.8557;1.3548;-10.8327;-47.2217;9.4736
115;66.5375;2.2984;74.9451;6.1094;44.8947;0.8;1.5768;-8.199;-34.2985;7.6102
116;75.4279;2.9385;97.6866;5.6274;80.3605;0.9134;2.0754;-7.5633;-24.2632;6.6018
117;69.3752;4.4854;125.4786;5.5762;55.7826;1.1194;1.1799;-16.7697;-64.8638;14.2303
118;48.9638;6.3441;100.4363;4.5029;42.9798;0.8355;0.6881;-13.7456;-72.5503;18.2151
119;90.5708;1.4279;112.9075;3.9899;80.514;1.0534;2.144;-8.9873;-32.1588;7.3702
120;83.5348;8.9691;80.4224;5.0333;67.4759;1.1479;1.0191;-18.8299;-70.4086;16.8968
121;84.2386;3.9793;145.052;5.8321;67.0844;1.348;1.1712;-22.2422;-71.0374;17.2636
122;53.631;3.4723;115.0766;4.6073;56.474;1.0127;1.0134;-15.8331;-66.6461;14.9908
123;95.2503;3.1419;129.943;6.4154;86.149;1.2626;2.268;-12.8343;-40.1224;8.3504
124;44.7667;2.5349;109.5587;4.2774;62.4497;1.1851;1.2514;-18.2545;-64.8041;14.2062
125;80.5634;6.2771;122.9025;3.1296;50.202;0.9817;0.6734;-17.1511;-77.1335;21.8661
126;109.4282;8.2781;80.3914;4.5845;31.7566;1.2579;0.6062;-23.6105;-83.9357;31.1249
127;52.1703;3.7556;88.4394;4.759;32.6347;1.1958;0.9426;-20.3131;-73.7255;19.0298
128;59.8066;8.2212;140.0207;4.477;48.2244;0.9673;0.4361;-18.3512;-84.9739;33.2755
129;71.7937;6.5769;147.6886;6.521;76.9982;1.1534;0.8556;-19.7786;-75.2719;20.2199
130;60.9374;4.1255;75.0687;5.808;35.8363;1.0558;1.0928;-15.8644;-65.5013;14.4933
131;42.0881;5.3441;106.4424;2.4536;66.116;1.1158;0.9019;-18.4072;-73.0584;18.5587
132;71.2341;3.8703;89.7865;6.9016;50.6378;1.4572;1.3635;-23.5258;-68.812;16.0318
133;50.8785;4.5829;84.008;0.4879;53.6196;0.8514;1.6553;-8.3071;-35.1952;7.7155
134;78.5247;1.6741;107.3807;7.8265;39.6273;1.0523;1.202;-15.193;-61.9241;13.1317
135;53.4504;5.5057;133.0082;4.169;86.7189;1.0061;1.1447;-14.8536;-62.0767;13.1845
136;97.8988;1.6201;111.9537;4.3156;82.0568;1.1708;2.3779;-10.6478;-32.2964;7.3851
137;55.9014;6.5123;92.3229;4.51;48.7331;0.9136;0.9576;-13.6867;-65.0608;14.3106
138;64.2029;6.5881;113.7366;5.1778;61.745;0.8929;0.7869;-14.5264;-70.6229;17.02
139;84.6433;2.8729;91.3937;4.5996;64.4385;0.9872;2.0462;-8.8231;-30.9082;7.2368
140;47.8444;3.2936;110.8523;4.3999;38.6589;1.0997;0.7405;-19.0897;-77.5526;22.2743
141;74.0943;4.1269;141.7814;6.5634;50.6094;0.9126;0.7769;-15.1782;-71.6226;17.6197
142;93.5286;4.821;60.0;5.4484;64.7986;0.8;2.4668;-2.0972;2.7844;4.8646
143;41.0653;3.1159;122.0564;3.1618;62.4278;0.8266;1.1463;-11.2447;-53.7729;10.8162
144;73.3234;4.7943;68.0611;5.711;82.5406;1.327;2.6585;-12.9742;-33.2182;7.4871
145;74.6779;3.1665;135.9452;5.3862;79.4267;1.3626;1.6141;-20.1374;-60.5143;12.6628
146;84.0728;1.648;85.2778;3.7821;47.7345;0.9055;1.7488;-8.5401;-35.6231;7.7668
147;47.7349;0.745;73.7553;5.7882;70.9637;1.4326;3.1352;-11.9803;-27.0506;6.8541
148;46.2318;2.0499;118.9838;4.3636;37.8697;0.9368;0.7456;-15.7711;-73.4699;18.8465
149;79.3949;6.2831;109.5316;4.2675;79.6232;0.8;1.3237;-9.5724;-44.8454;9.0654
